location_id,location,country_name,province
4709,Aceh,Indonesia,Aceh
4726,Bali,Indonesia,Bali
4717,Bangka-Belitung Islands,Indonesia,Bangka Belitung
4725,Banten,Indonesia,Banten
4715,Bengkulu,Indonesia,Bengkulu
4737,Gorontalo,Indonesia,Gorontalo
4720,Jakarta,Indonesia,Jakarta Raya
4713,Jambi,Indonesia,Jambi
4721,West Java,Indonesia,Jawa Barat
4722,Central Java,Indonesia,Jawa Tengah
4724,East Java,Indonesia,Jawa Timur
4729,West Kalimantan,Indonesia,Kalimantan Barat
4731,South Kalimantan,Indonesia,Kalimantan Selatan
4730,Central Kalimantan,Indonesia,Kalimantan Tengah
4732,East Kalimantan,Indonesia,Kalimantan Timur
4719,North Kalimantan,Indonesia,Kalimantan Utara
4718,Riau Islands,Indonesia,Kepulauan Riau
4716,Lampung,Indonesia,Lampung
4739,Maluku,Indonesia,Maluku
4740,North Maluku,Indonesia,Maluku Utara
4727,West Nusa Tenggara,Indonesia,Nusa Tenggara Barat
4728,East Nusa Tenggara,Indonesia,Nusa Tenggara Timur
4742,Papua,Indonesia,Papua
4741,West Papua,Indonesia,Papua Barat
4712,Riau,Indonesia,Riau
4738,West Sulawesi,Indonesia,Sulawesi Barat
4735,South Sulawesi,Indonesia,Sulawesi Selatan
4734,Central Sulawesi,Indonesia,Sulawesi Tengah
4736,Southeast Sulawesi,Indonesia,Sulawesi Tenggara
4733,North Sulawesi,Indonesia,Sulawesi Utara
4711,West Sumatra,Indonesia,Sumatera Barat
4714,South Sumatra,Indonesia,Sumatera Selatan
4710,North Sumatra,Indonesia,Sumatera Utara
4723,Yogyakarta,Indonesia,Yogyakarta
